onset	duration	trial_type
0.0078	4.0	cue
4.0611	6.0	situation
12.0509	6.0	situation
20.0573	6.0	situation
38.0552	6.0	situation
46.0616	6.0	situation
58.0546	4.0	cue
62.1079	6.0	action
80.1224	6.0	action
88.0955	6.0	action
96.1186	6.0	action
104.1084	6.0	action
116.1014	4.0	cue
120.1547	6.0	interoception
128.1444	6.0	interoception
136.1509	6.0	interoception
144.1407	6.0	interoception
162.1552	6.0	interoception
174.1482	4.0	cue
178.2015	6.0	situation
186.1912	6.0	situation
194.1977	6.0	situation
212.1955	6.0	situation
220.202	6.0	situation
232.195	4.0	cue
236.2482	6.0	situation
244.238	6.0	situation
252.2445	6.0	situation
260.2509	6.0	situation
268.2574	6.0	situation
290.2418	4.0	cue
294.295	6.0	interoception
302.2848	6.0	interoception
310.2913	6.0	interoception
318.281	6.0	interoception
336.2955	6.0	interoception
348.2885	4.0	cue
352.3251	6.0	interoception
360.3316	6.0	interoception
368.338	6.0	interoception
376.3278	6.0	interoception
394.3423	6.0	interoception
406.3353	4.0	cue
410.3886	6.0	situation
418.3784	6.0	situation
426.3848	6.0	situation
434.3746	6.0	situation
452.3891	6.0	situation
464.3821	4.0	cue
468.4354	6.0	interoception
486.4499	6.0	interoception
494.4397	6.0	interoception
502.4294	6.0	interoception
510.4359	6.0	interoception
522.4289	4.0	cue
526.4655	6.0	interoception
534.4719	6.0	interoception
542.4784	6.0	interoception
550.4681	6.0	interoception
568.4827	6.0	interoception
580.4757	4.0	cue
584.5122	6.0	situation
602.5268	6.0	situation
610.5165	6.0	situation
618.523	6.0	situation
626.5294	6.0	situation
638.5224	4.0	cue
642.5757	6.0	action
650.5655	6.0	action
658.5719	6.0	action
666.5784	6.0	action
684.5762	6.0	action
696.5692	4.0	cue
700.6058	6.0	action
708.6122	6.0	action
716.6187	6.0	action
724.6085	6.0	action
732.6149	6.0	action
754.616	4.0	cue
758.6526	6.0	situation
766.659	6.0	situation
774.6655	6.0	situation
782.6719	6.0	situation
800.6698	6.0	situation
812.6628	4.0	cue
816.716	6.0	action
824.7058	6.0	action
832.7123	6.0	action
840.702	6.0	action
858.7165	6.0	action
870.7095	4.0	cue
874.7628	6.0	action
882.7526	6.0	action
890.759	6.0	action
898.7488	6.0	action
906.7553	6.0	action
928.7563	4.0	cue
932.8096	6.0	action
950.8074	6.0	action
958.7972	6.0	action
966.8036	6.0	action
974.8101	6.0	action
986.8031	4.0	cue
990.8397	6.0	interoception
998.8461	6.0	interoception
1006.8526	6.0	interoception
1024.8504	6.0	interoception
1032.8569	6.0	interoception
